"acc_y";"acc_z";"time_ms";"acc_x"
399;442;2244;-775
413;486;2249;-775
413;486;2254;-760
418;475;2259;-767
418;475;2263;-782
394;449;2268;-782
394;449;2273;-782
379;459;2278;-757
379;459;2283;-769
379;459;2288;-769
379;481;2293;-769
407;481;2297;-769
401;460;2302;-785
386;456;2307;-760
386;456;2312;-760
386;456;2317;-769
417;483;2322;-782
406;458;2327;-782
406;458;2332;-782
406;458;2336;-782
406;458;2341;-765
384;451;2346;-765
413;484;2351;-768
403;460;2356;-781
403;460;2361;-781
383;454;2366;-771
383;454;2371;-771
383;454;2375;-771
383;454;2380;-762
398;480;2385;-762
398;480;2390;-789
399;466;2395;-789
382;452;2400;-780
382;483;2405;-780
397;483;2410;-759
397;483;2414;-781
397;483;2419;-781
412;485;2424;-781
412;485;2429;-781
387;449;2434;-770
387;449;2439;-770
400;480;2444;-760
415;483;2449;-760
415;483;2453;-779
383;451;2458;-770
383;451;2463;-752
383;451;2468;-752
383;451;2473;-752
395;483;2478;-763
395;483;2483;-774
413;484;2488;-774
413;484;2492;-774
388;452;2497;-774
397;482;2502;-759
414;482;2507;-770
414;482;2512;-770
414;482;2517;-776
404;467;2522;-776
398;476;2527;-755
398;476;2531;-755
398;476;2536;-765
398;476;2541;-765
414;480;2546;-765
411;468;2551;-774
411;468;2556;-774
395;475;2561;-758
395;475;2565;-764
412;483;2570;-764
412;483;2575;-764
406;472;2580;-776
406;472;2585;-756
406;472;2590;-756
387;446;2595;-756
387;446;2600;-756
407;478;2604;-765
405;475;2609;-781
405;475;2614;-786
405;475;2619;-786
390;449;2624;-786
407;477;2629;-770
407;477;2634;-783
407;477;2639;-783
407;477;2643;-783
406;472;2648;-783
390;444;2653;-778
394;466;2658;-762
394;466;2663;-762
394;466;2668;-775
412;472;2673;-775
393;447;2678;-775
393;447;2682;-782
393;447;2687;-782
393;447;2692;-758
391;469;2697;-758
408;478;2702;-776
408;451;2707;-776
390;451;2712;-776
390;451;2717;-776
390;451;2721;-754
386;473;2726;-779
386;473;2731;-779
410;491;2736;-779
410;491;2741;-788
389;454;2746;-763
386;471;2751;-763
386;471;2756;-763
386;471;2760;-766
408;482;2765;-783
396;451;2770;-783
396;451;2775;-783
396;451;2780;-760
388;464;2785;-760
413;482;2790;-760
413;482;2795;-760
413;482;2799;-760
416;477;2804;-783
385;459;2809;-759
385;459;2814;-759
385;459;2819;-759
409;478;2824;-759
409;476;2829;-773
409;476;2834;-773
409;476;2838;-762
409;476;2843;-762
384;458;2848;-762
407;484;2853;-761
407;480;2858;-761
412;480;2863;-776
412;480;2868;-765
395;456;2873;-765
395;479;2877;-765
403;479;2882;-758
403;479;2887;-770
403;479;2892;-770
411;479;2897;-770
411;455;2902;-770
398;455;2907;-784
402;482;2912;-760
402;482;2916;-773
409;483;2921;-773
409;483;2926;-773
401;456;2931;-787
401;456;2936;-754
401;456;2941;-754
401;454;2946;-754
382;454;2951;-754
412;485;2955;-779
403;461;2960;-784
403;461;2965;-784
403;461;2970;-772
384;455;2975;-767
420;482;2980;-767
420;482;2985;-767
420;482;2989;-767
