x_f,y_f,z_f,x,y,z,time_ms
112.9,749.88,561.83,214,783,580,1587.6559422193
142.04,755.9,562.87,87,743,568,1596.19172685489
171.84,764.91,566.64,215,786,578,1604.72751149048
190.06,772.3,571.88,215,786,578,1613.26329612607
190.73,774.43,575.91,92,745,561,1621.79908076165
181.52,772.44,577.04,162,766,566,1630.33486539724
169.85,769.07,575.65,162,766,566,1638.87065003283
161.14,766,572.72,213,786,581,1647.40643466842
156.79,764.13,569.34,148,768,570,1655.94221930401
156.77,763.9,566.76,159,761,570,1664.47800393959
163.3,766.31,566.03,214,786,577,1673.01378857518
171.7,769.43,567.69,150,766,568,1681.54957321077
177.78,771.63,570.31,150,766,568,1690.08535784636
175.71,771.14,571.93,153,759,575,1698.62114248194
169.3,769.11,571.54,228,781,577,1707.15692711753
165.07,767.19,570.17,167,769,573,1715.69271175312
167.82,766.56,569.51,167,769,573,1724.22849638871
174.15,766.63,570.4,79,742,560,1732.76428102429
176.25,766.42,571.79,228,796,584,1741.30006565988
171.39,766.05,572.37,173,774,568,1749.83585029547
160.19,768.61,571.87,87,742,561,1758.37163493106
150.28,773.14,576.15,260,648,327,1766.90741956664
144.95,770.13,579.82,260,648,490,1775.44320420223
148.65,750.03,567.46,433,757,682,1783.97898883782
172,716.81,530.98,433,757,682,1792.51477347341
235.67,687.52,487.73,433,757,682,1801.050558109
327.79,683.34,476.68,-87,869,606,1809.58634274458
396.49,708.82,519.39,2,822,617,1818.12212738017
377.61,751.87,594.49,2,822,617,1826.65791201576
264.43,796.57,655.3,273,816,580,1835.19369665135
124.23,829,673.93,102,651,446,1843.72948128693
47.5,837.26,657.44,102,651,446,1852.26526592252
58.65,809.58,621.94,-87,660,607,1860.80105055811
107.14,752.48,579.94,-71,867,588,1869.3368351937
111.48,696.71,535.47,-71,867,588,1877.87261982928
58.06,682.11,505.92,210,828,533,1886.40840446487
-8.16,721.05,507.24,-85,784,624,1894.94418910046
-32.62,784.77,533.95,-85,784,624,1903.47997373605
-30.43,830.42,563.63,21,769,645,1912.01575837164
-21.53,841.28,583.32,568,780,495,1920.55154300722
-4.44,818.64,597.07,187,496,460,1929.08732764281
49.77,782.16,603.97,62,823,702,1937.6231122784
138.98,741.46,598.45,229,697,619,1946.15889691399
221.94,702.55,577.49,229,697,619,1954.69468154957
251.2,678.18,559.65,75,910,497,1963.23046618516
226.28,683.83,565.1,92,839,583,1971.76625082075
179.85,721.02,588.54,159,805,583,1980.30203545634
146.43,775.5,604.41,159,805,583,1988.83782009192
132.67,819.17,597.29,175,695,507,1997.37360472751
134.6,832.53,575.86,20,811,640,2005.9093893631
136.37,817.4,562.29,20,811,478,2014.44517399869
132.29,788.96,563.94,172,636,494,2022.98095863427
113.41,760.39,565.86,119,933,697,2031.51674326986
87.94,754.26,554.01,119,933,697,2040.05252790545
78.31,775.47,538.58,167,613,673,2048.58831254104
93.59,808.43,539.64,167,613,673,2057.12409717663
124.16,819.12,571.27,167,613,673,2065.65988181221
150.64,784.15,624.08,-1,835,573,2074.1956664478
160.51,717.42,673.14,71,758,535,2082.73145108339
147.32,668.53,693.67,71,758,535,2091.26723571898
116.34,671.33,679.12,71,760,541,2099.80302035456
81.56,712.28,637.84,83,760,541,2108.33880499015
57.26,754.7,589.63,94,855,597,2116.87458962574
54.91,772.71,550.38,174,791,615,2125.41037426133
66.11,781.07,528.54,94,776,680,2133.94615889691
85.19,795.03,530.98,288,601,632,2142.4819435325
112.26,801.66,552.73,135,659,719,2151.01772816809
145.14,781.85,583.45,69,674,770,2159.55351280368
171.59,733.39,614.81,69,674,770,2168.08929743926
174.12,679.45,646.88,133,672,724,2176.62508207485
150.02,646.33,685.02,71,812,562,2185.16086671044
115.53,645.87,726.88,98,801,497,2193.69665134603
91.61,674.97,753.02,98,801,553,2202.23243598162
86.36,719.16,738.02,70,771,632,2210.7682206172
90.31,762.95,677.5,70,771,632,2219.30400525279
92.29,791.44,601.85,70,771,632,2227.83978988838
85.35,799.72,552.23,97,719,687,2236.37557452397
77.14,789.81,550.26,98,705,709,2244.91135915955
75.21,771.07,582.56,98,705,709,2253.44714379514
81.36,749.14,623.32,45,686,701,2261.98292843073
89.48,727.25,657.08,37,723,681,2270.51871306632
91.11,707.37,681.4,37,723,681,2279.0544977019
79.67,696.52,698.18,42,753,668,2287.59028233749
59.85,699.5,705.29,70,753,649,2296.12606697308
42.3,713.06,700.88,67,692,660,2304.66185160867
36.61,729.69,688.67,117,733,651,2313.19763624425
44.97,739.47,673.76,93,658,713,2321.73342087984
63.73,737.27,660.75,93,658,713,2330.26920551543
84.74,723.43,654.08,29,636,688,2338.80499015102
97.73,701.25,658.6,15,597,664,2347.34077478661
94.93,675.42,672.96,8,617,685,2355.87655942219
72.68,646,688.05,8,617,701,2364.41234405778
40.37,619.1,695.43,123,768,649,2372.94812869337
16.27,606.43,693.14,123,768,649,2381.48391332896
15.86,621.95,686.42,123,768,649,2390.01969796454
43.48,667.29,677.88,145,692,733,2398.55548260013
84.86,720.7,667.82,65,632,723,2407.09126723572
118.95,753.02,659.35,65,632,723,2415.62705187131
129.57,745.56,660.41,65,602,683,2424.16283650689
116.73,705.08,676.03,65,602,683,2432.69862114248
92.89,657.23,698.93,66,627,686,2441.23440577807
73.79,626.12,713.23,53,573,723,2449.77019041366
67.48,616.66,707.04,-2,430,877,2458.30597504924
63.24,607.9,688.85,-71,399,877,2466.84175968483
46.55,575.38,683.09,89,533,824,2475.37754432042
17.77,518.93,709.3,231,718,770,2483.91332895601
0.16,473.6,763.79,231,718,770,2492.4491135916
22.66,478.74,819.15,195,658,728,2500.98489822718
86.41,544.59,845.66,184,726,735,2509.52068286277
160.54,634.29,830.77,205,558,835,2518.05646749836
208.36,695.65,791.41,209,585,800,2526.59225213395
219.21,702.1,756.47,209,585,800,2535.12803676953
210.18,667.13,746.73,184,555,782,2543.66382140512
202.2,622.47,762.77,184,517,742,2552.19960604071
200.17,587.28,786.56,184,493,758,2560.7353906763
196.88,562.32,797.77,229,525,863,2569.27117531188
192.8,539.81,789.34,229,525,863,2577.80695994747
194.29,519.79,776.38,143,581,702,2586.34274458306
201.76,509.91,777.51,143,581,702,2594.87852921865
205.01,516.86,795.32,143,581,702,2603.41431385423
192.08,540.6,807.81,164,516,774,2611.95009848982
166.85,565.15,792.76,270,483,785,2620.48588312541
147.33,571.86,755.51,270,483,785,2629.021667761
152.72,554.72,726.8,301,554,632,2637.55745239659
186.63,527.65,728.4,301,554,632,2646.09323703217
233.82,509.63,743.86,268,443,914,2654.62902166776
274.48,509.71,746.14,293,485,784,2663.16480630335
296.01,517.26,728.63,230,412,748,2671.70059093894
297.19,512.74,715.98,230,412,748,2680.23637557452
282.33,488.89,730.5,275,443,774,2688.77216021011
261.72,455.67,761.71,328,447,777,2697.3079448457
247.35,430.06,782.68,328,447,777,2705.84372948129
249.3,421.24,780.12,387,477,781,2714.37951411687
271.92,427.53,767.1,389,483,780,2722.91529875246
309.03,441.5,761.64,377,477,771,2731.45108338805
347.57,456.85,768.53,331,472,754,2739.98686802364
374.22,470,778.16,315,463,749,2748.52265265923
380.25,476.53,779.48,315,463,749,2757.05843729481
366.98,477.01,774.89,314,463,747,2765.5942219304
342.44,473.8,766.51,333,445,748,2774.13000656599
318.67,466.9,756.75,385,406,765,2782.66579120158
307.49,458.31,749,445,504,747,2791.20157583716
316.6,450.14,745.5,458,453,761,2799.73736047275
344.96,446.92,746.19,458,453,761,2808.27314510834
384.09,449.49,749.48,475,414,742,2816.80892974393
422.53,455.07,757.43,515,467,550,2825.34471437951
452.22,457.03,760.12,492,401,831,2833.8804990151
471.17,451.56,748.87,492,401,831,2842.41628365069
483.64,440.6,726.24,530,420,719,2850.95206828628
493.38,428.35,709.84,496,398,695,2859.48785292186
503.8,417.39,716.5,496,398,695,2868.02363755745
511.7,409.28,740.49,377,415,716,2876.55942219304
510.16,403.53,757.41,406,410,693,2885.09520682863
491.55,402.06,749.69,406,410,693,2893.63099146422
457.07,403.91,724.01,458,408,691,2902.1667760998
421.72,407.41,701.31,496,395,691,2910.70256073539
403.64,410,692.14,496,395,691,2919.23834537098
412.29,410.6,693.75,564,354,682,2927.77413000657
442.18,406.58,693.38,590,344,682,2936.30991464215
480.51,395.96,690.51,590,344,682,2944.84569927774
518.24,379.03,687.97,610,350,683,2953.38148391333
550.73,360.26,685.81,638,391,676,2961.91726854892
577.75,347.27,683.62,638,391,676,2970.4530531845
601.93,344.95,683.89,656,392,563,2978.98883782009
625.86,353.09,681.35,505,470,777,2987.52462245568
642.24,370.27,674.9,414,500,632,2996.06040709127
633.9,397.04,664.81,416,440,672,3004.59619172686
590.32,429.34,658.14,466,353,654,3013.13197636244
520.18,454.68,659.64,466,353,654,3021.66776099803
452.88,457.33,667.06,565,359,617,3030.20354563362
420.6,431.25,672.3,675,334,595,3038.73933026921
437.36,390.08,668.94,677,394,591,3047.27511490479
492.99,355.43,656.44,677,394,591,3055.81089954038
562.39,345.29,638.97,736,436,566,3064.34668417597
624.22,358.86,619.68,843,328,573,3072.88246881156
673.91,381.32,603.34,815,342,562,3081.41825344714
718.08,394.75,588.76,781,315,563,3089.95403808273
760.5,388.93,579.62,743,307,550,3098.48982271832
796.04,363.74,570.15,743,307,681,3107.02560735391
810.92,331.68,564.32,603,424,490,3115.56139198949
795.2,310.98,566.19,603,424,490,3124.09717662508
750.56,316.46,575.8,603,424,490,3132.63296126067
691.93,347.53,581.39,668,371,522,3141.16874589626
639.86,387.72,568.96,691,315,558,3149.70453053185
612.1,411.6,538.93,691,315,558,3158.24031516743
615.49,405.58,509.56,727,331,552,3166.77609980302
641.93,374.22,500.36,727,331,552,3175.31188443861
673.9,339.76,516.81,761,360,451,3183.8476690742
700.25,322.3,542.53,786,335,479,3192.38345370978
720.22,325.26,556.49,768,286,496,3200.91923834537
739.95,334.22,546.37,768,286,496,3209.45502298096
758.64,334.36,521.44,746,321,481,3217.99080761655
771.07,321.8,494.96,730,345,526,3226.52659225213
772.81,306.47,479.58,730,345,526,3235.06237688772
764.59,302.47,479.11,690,364,504,3243.59816152331
749.29,312.61,487.28,675,338,573,3252.1339461589
729.54,329.82,499.43,720,397,482,3260.66973079448
709.76,347.9,512.29,743,386,485,3269.20551543007
696.6,362.93,521.54,750,263,553,3277.74130006566
695.27,370.8,524.02,750,263,553,3286.27708470125
706.72,364.39,521.86,809,302,401,3294.81286933684
726.56,341.77,519.9,818,307,443,3303.34865397242
749.87,312.76,520.01,798,253,429,3311.88443860801
772.61,290.9,514.23,790,224,458,3320.4202232436
790.9,280.33,494.55,805,252,442,3328.95600787919
800.86,273.56,465.25,805,252,442,3337.49179251477
802.76,262.47,441.27,831,219,442,3346.02757715036
804.17,248.19,432.66,803,269,421,3354.56336178595
809.85,238.41,435.3,676,257,522,3363.09914642154
813.28,236.59,437.85,676,257,522,3371.63493105712
799.68,239.88,438.67,685,330,455,3380.17071569271
763.51,247.05,449.73,730,335,272,3388.7065003283
716.48,262.23,474.29,730,335,272,3397.24228496389
682.33,286.24,489.21,858,275,393,3405.77806959947
679.83,310.89,469.63,898,272,372,3414.31385423506
711.92,323.38,413.89,898,272,372,3422.84963887065
768.29,317.86,353.74,917,261,348,3431.38542350624
829.99,299.78,324.49,883,236,348,3439.92120814183
879.08,279.24,332.77,883,236,348,3448.45699277741
906.5,263.38,355.54,861,231,352,3456.992777413
910.54,252.18,366.4,800,235,345,3465.52856204859
897.88,242.79,361.18,800,235,345,3474.06434668418
875.03,235.77,350.41,773,227,376,3482.60013131976
847.2,232.03,344.91,761,227,363,3491.13591595535
817.19,231.6,345.33,761,227,363,3499.67170059094
789.21,231.03,348.89,768,210,352,3508.20748522653
767.77,227.69,355.3,824,236,337,3516.74326986211
756.57,222.16,361.68,858,270,331,3525.2790544977
759.81,219.42,364.28,888,296,324,3533.81483913329
779.57,225.19,360.71,925,289,306,3542.35062376888
812.74,241.97,351.81,925,289,306,3550.88640840446
852.24,264.8,341.17,949,268,269,3559.42219304005
889.11,283.78,331.02,934,256,263,3567.95797767564
917.17,290.8,320.36,905,250,281,3576.49376231123
934.36,285.16,306.99,905,250,281,3585.02954694682
940.1,271.81,291.52,842,238,295,3593.5653315824
934.08,257.45,277.51,800,268,315,3602.10111621799
914.69,247,270.19,769,296,318,3610.63690085358
879.63,243.36,272.53,772,306,313,3619.17268548917
835.31,249.18,283.25,907,352,300,3627.70847012475
796.46,266.48,298.11,907,352,260,3636.24425476034
783.72,292.23,311.15,986,307,246,3644.78003939593
807.48,318.27,315.88,986,307,246,3653.31582403152
861.89,334.82,308.78,986,307,246,3661.8516086671
924.76,337.06,290.98,892,285,251,3670.38739330269
969.47,327.29,268.88,860,260,265,3678.92317793828
980.57,312.15,251.24,860,260,265,3687.45896257387
958.62,296.38,243.14,828,253,275,3695.99474720945
917.77,281.58,244.38,809,245,275,3704.53053184504
875.44,268.16,251.28,809,245,275,3713.06631648063
841.53,255.31,259.63,835,252,279,3721.60210111622
820.86,245.41,266.53,861,321,287,3730.13788575181
812.12,242.82,271.29,861,321,287,3738.67367038739
814.83,253.15,274.68,886,325,274,3747.20945502298
827.33,275.7,278.47,917,246,244,3755.74523965857
847.23,298.9,282.55,917,246,244,3764.28102429416
870.79,308,284.12,899,297,240,3772.81680892974
893,298.09,279.01,844,289,263,3781.35259356533
906.86,280.4,266.9,824,285,274,3789.88837820092
903.89,270.38,253.16,829,273,266,3798.42416283651
883.26,272.87,245.57,870,277,262,3806.95994747209
855.21,280.18,247.76,870,277,262,3815.49573210768
835.7,282.41,256.44,895,288,254,3824.03151674327
835.06,278.77,264.52,910,299,254,3832.56730137886
850,275.33,267.04,902,325,260,3841.10308601445
870.34,278.47,264.51,942,319,242,3849.63887065003
888.5,288.53,260.33,947,327,246,3858.17465528562
903.82,301.63,256.79,947,327,246,3866.71043992121
919.48,313.94,254.02,926,327,248,3875.2462245568
934.11,322.71,250.3,883,323,280,3883.78200919238
941.57,327.13,246,883,308,282,3892.31779382797
935.77,327.72,244.14,883,308,276,3900.85357846356
918.34,325.04,247.9,889,296,275,3909.38936309915
897.79,319.42,257.32,889,296,275,3917.92514773473
884.21,311.56,268.51,889,296,275,3926.46093237032
881.75,303.02,275.62,863,311,308,3934.99671700591
884.92,296.92,276.28,833,324,327,3943.5325016415
885.56,295.77,274.39,833,324,327,3952.06828627708
877.57,300.45,276.11,807,323,344,3960.60407091267
861.07,308.96,285.58,809,323,344,3969.13985554826
840.45,317.41,301.53,809,323,344,3977.67564018385
820.9,322.55,318.34,840,322,356,3986.21142481944
808.16,323.69,331.45,874,329,356,3994.74720945502
806.74,322.94,339.64,874,329,356,4003.28299409061
818.33,322.45,344.19,874,329,374,4011.8187787262
839.14,323.47,347.45,857,338,374,4020.35456336179
860.39,324.93,351.14,832,333,376,4028.89034799737
872.15,326.46,355.75,810,370,381,4037.42613263296
868.67,330.41,360.66,807,371,415,4045.96191726855
853.23,338.24,365.35,819,320,432,4054.49770190414
834.49,348,370.37,793,328,436,4063.03348653972
819.73,353.77,377.99,756,325,458,4071.56927117531
810.08,350.73,390.55,756,325,458,4080.1050558109
800.79,340.1,407.32,727,330,472,4088.64084044649
787.78,328.36,424.76,713,336,495,4097.17662508207
770.09,321.59,439.25,667,354,518,4105.71240971766
749.06,322.26,450.19,645,377,540,4114.24819435325
725.22,329.68,461.1,640,364,546,4122.78397898884
698.45,341.37,475.88,640,364,546,4131.31976362443
669.62,351.67,495.74,649,357,532,4139.85554826001
645.16,358.69,517.29,731,462,523,4148.3913328956
634.48,364.04,534.33,737,416,539,4156.92711753119
645.03,375.28,542.23,737,416,539,4165.46290216678
673.22,394.47,539.95,679,362,584,4173.99868680236
705.05,413,533.12,679,362,584,4182.53447143795
723.95,419.11,529.83,679,362,584,4191.07025607354
722.19,409.63,535.55,639,310,596,4199.60604070913
704.42,389.73,548.88,630,231,636,4208.14182534471
682.26,362.67,564.6,630,231,636,4216.6776099803
663.64,327.43,579.27,586,331,618,4225.21339461589
648.42,289.6,591.68,557,379,686,4233.74917925148
631.68,262.68,603.59,557,379,686,4242.28496388706
610.3,269.49,616.33,542,479,691,4250.82074852265
585.74,311.25,629.89,577,297,733,4259.35653315824
564.7,362.95,645.49,577,297,733,4267.89231779383
553.92,392.59,663.51,568,401,739,4276.42810242942
554.99,387.64,685.3,552,368,669,4284.963887065
562.94,364.73,707.72,552,368,669,4293.49967170059
568.77,351,723.6,531,350,687,4302.03545633618
567.79,355.42,725.9,522,276,674,4310.57124097177
561.84,364.91,714.61,471,287,638,4319.10702560735
551.59,359.34,695.97,391,251,683,4327.64281024294
533.01,334.07,678.32,383,305,676,4336.17859487853
500.22,299.6,667.35,383,305,676,4344.71437951412
456.16,276.09,663.88,441,342,646,4353.2501641497
414.88,271.4,663.52,414,356,722,4361.78594878529
391.1,282.66,663.94,428,414,731,4370.32173342088
389.46,305.92,663.82,477,458,777,4378.85751805647
403.11,337.11,667.42,493,447,775,4387.39330269205
423.1,374.32,680.06,493,447,775,4395.92908732764
444.9,412.33,702.58,495,398,844,4404.46487196323
465.99,438.95,730.83,477,390,824,4413.00065659882
482.84,445.75,758.88,502,421,788,4421.53644123441
493.88,435.25,782.55,502,421,788,4430.07222586999
499.32,419.94,801.5,385,357,774,4438.60801050558
497.85,409.33,812.78,385,357,774,4447.14379514117
486.37,402.52,813.06,385,357,774,4455.67957977676
